,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
433,Kenai,US,60.55,-151.26,25.63,86,90,6.93
434,Umluj,SA,25.02,37.27,73.62,49,0,11.7
435,Beringovskiy,RU,63.05,179.32,21.02,95,84,2.71
436,Uthal,PK,25.81,66.62,66.25,54,0,2.48
437,Camaná,PE,-16.62,-72.71,66.09,75,62,5.99
438,Eyl,SO,7.98,49.82,74.35,73,0,14.23
439,Porto-Novo,BJ,6.5,2.6,80.6,94,20,10.29
440,Plyussa,RU,58.43,29.37,24.44,90,88,8.72
441,Camp Verde,US,34.56,-111.85,54.82,19,1,2.68
442,Tremedal,BR,-14.98,-41.41,68.85,87,48,1.52
443,Oktyabr'skiy,RU,54.48,53.47,8.56,91,0,4.54
444,Qaqortoq,GL,60.72,-46.03,30.2,30,0,21.92
445,El Salvador,SV,13.83,-88.92,74.07,64,0,11.41
446,Buraidah,SA,26.33,43.98,55.4,87,0,8.05
447,Illela,NG,13.73,5.3,76.17,18,4,9.46
448,Bongouanou,CI,6.65,-4.2,72.25,99,95,2.51
449,Ruska Poliana,UA,49.42,31.92,25.0,92,0,11.16
450,Soubre,CI,5.79,-6.61,72.86,96,79,2.48
451,Saluzzo,IT,44.65,7.49,36.82,100,76,8.05
452,Kasongo-Lunda,CD,-6.47,16.82,70.07,93,100,1.57
453,Luanda,AO,-8.84,13.23,77.0,83,40,4.7
454,Zelenoborsk,RU,61.47,64.03,15.91,96,5,6.44
455,Avera,US,33.19,-82.53,46.62,76,1,3.36
456,Japura,ID,-0.32,102.35,77.52,90,100,1.99
457,Esim,GH,4.87,-2.24,78.4,86,67,7.96
458,Arrondissement de Mont-de-Marsan,FR,44.0,-0.67,45.25,87,100,4.7
459,Katsuura,JP,35.13,140.3,47.77,93,75,8.05
460,Bulgan,MN,48.81,103.53,-0.08,82,0,3.71
461,Lázaro Cárdenas,MX,17.96,-102.2,78.15,80,0,6.02
462,Flin Flon,CA,54.77,-101.86,26.6,92,5,4.7
463,San Quintín,MX,30.48,-115.95,62.06,78,100,10.33
464,Lima Duarte,BR,-21.84,-43.79,66.47,95,100,1.07
465,Sisimiut,GL,66.94,-53.67,21.81,90,52,10.29
466,Santa Maria,BR,-29.68,-53.81,71.6,73,0,2.24
467,Vila,PT,42.03,-8.16,48.99,96,100,7.0
468,Dalgopol,BG,43.05,27.35,50.85,100,90,16.11
469,Novobelokatay,RU,55.71,58.95,5.45,93,73,3.56
470,Kumul,CN,42.8,93.45,15.06,89,0,0.63
471,Gilgit,PK,35.92,74.31,37.85,65,49,2.64
472,Saint-Augustin,CA,51.23,-58.65,34.09,90,100,7.0
473,Slidell,US,30.28,-89.78,53.62,76,1,5.23
474,Granard,IE,53.77,-7.5,43.52,98,100,3.31
475,Port Augusta,AU,-32.5,137.77,75.13,60,100,14.99
476,Wanxian,CN,30.8,108.39,49.15,67,22,1.45
477,Sabana Grande de Boyá,DO,18.95,-69.79,75.94,88,40,1.79
478,Coyhaique,CL,-45.58,-72.07,55.4,62,75,5.82
479,Tavares,US,28.8,-81.73,50.34,71,1,3.36
480,Ketchikan,US,55.34,-131.65,39.2,93,40,6.93
481,Nabire,ID,-3.37,135.48,83.75,67,86,1.32
482,Myaundzha,RU,63.05,147.19,-29.06,82,100,1.28
483,Saint-Pierre,RE,-21.34,55.48,68.99,78,0,8.05
484,Vestmannaeyjar,IS,63.44,-20.27,42.93,87,100,17.52
485,Rychnov nad Kněžnou,CZ,50.16,16.27,38.44,85,99,2.73
486,Bariloche,AR,-41.15,-71.31,62.6,33,0,12.75
487,Amapá,BR,1.0,-52.0,72.61,96,14,3.09
488,Sheltozero,RU,61.37,35.37,27.59,87,0,11.05
489,Novodugino,RU,55.63,34.28,16.83,93,0,7.78
490,Muros,ES,42.78,-9.06,58.55,94,100,1.99
491,Yarmouth,US,41.71,-70.23,33.71,86,90,8.95
492,Alvorada,BR,-12.48,-49.12,73.08,88,100,2.35
493,Binga,ZW,-17.62,27.34,73.31,86,94,4.54
494,Igarassu,BR,-7.83,-34.91,77.56,77,87,7.72
495,Sankt Pölten,AT,48.2,15.63,34.3,83,100,8.01
496,Aykhal,RU,66.0,111.5,-40.0,65,40,4.47
497,Vanimo,PG,-2.67,141.3,86.92,61,72,2.91
498,Kendari,ID,-3.94,122.5,86.14,66,100,3.33
499,Selenginsk,RU,52.01,106.86,6.8,65,40,11.18
500,High Prairie,CA,55.43,-116.49,32.0,94,44,8.05
501,Hervey Bay,AU,-25.3,152.85,77.7,56,12,9.86
502,Porto Santo,PT,33.07,-16.34,60.8,77,20,9.17
503,Altamont,US,42.21,-121.74,40.95,56,1,9.17
504,Mehamn,NO,71.04,27.85,37.4,90,75,16.11
505,Peniche,PT,39.36,-9.38,59.36,91,100,15.99
506,Port Blair,IN,11.67,92.75,79.54,70,99,8.03
507,Dāmghān,IR,36.17,54.35,34.93,83,5,1.52
508,Ilebo,CD,-4.32,20.58,69.58,94,100,0.78
509,Lethem,GY,3.38,-59.8,77.79,77,4,7.18
510,Ngunguru,NZ,-35.62,174.5,77.0,61,0,15.99
511,Kieta,PG,-6.22,155.63,84.79,75,99,7.72
512,Ialibu,PG,-6.28,143.99,68.0,77,75,3.36
513,Mushie,CD,-3.02,16.9,70.75,91,99,2.89
514,Arcata,US,40.87,-124.08,53.28,71,1,11.41
515,Bilibino,RU,68.05,166.44,-9.56,84,60,4.12
516,Dinklage,DE,52.65,8.12,34.57,93,100,4.18
517,Escanaba,US,45.75,-87.06,33.24,74,1,5.82
518,Gravdal,NO,68.12,13.5,37.35,94,100,17.02
519,Neutraubling,DE,48.98,12.2,32.4,95,90,1.72
520,Laibin,CN,23.7,109.27,57.58,61,66,10.27
521,Aswān,EG,24.09,32.91,64.89,44,0,7.78
522,Salalah,OM,17.02,54.09,73.4,25,0,6.93
523,Brookfield,US,43.06,-88.11,39.07,60,1,5.82
524,Korla,CN,41.76,86.15,21.29,91,0,2.62
525,Bonavista,CA,48.65,-53.11,34.05,90,86,5.82
526,Biak,ID,-0.91,122.88,82.74,74,40,6.78
527,Ailigandí,PA,9.23,-78.02,79.25,85,100,11.48
528,Bemidji,US,47.47,-94.88,32.36,90,75,3.4
529,Kibala,TD,9.11,18.35,73.85,22,100,3.27
530,Ugoofaaru,MV,5.67,73.0,82.04,77,0,13.29
531,Klaksvík,FO,62.23,-6.59,44.6,93,100,24.16
532,Alekseyevsk,RU,57.84,108.35,-11.33,86,100,8.03
533,Thabazimbi,ZA,-24.59,27.41,71.28,61,0,6.38
534,Puerto Madero,MX,14.72,-92.42,80.6,88,40,3.36
